id;vlr_intermediario_ii
388546;R$64,00
388547;R$64,00
388548;R$64,00
245923;R$64,50
245656;R$70,00
379184;R$70,00
379213;R$70,00
247232;R$67,50
246157;R$67,50
246006;R$67,90
379205;R$69,30
379204;R$69,30
379203;R$69,30
379206;R$69,30
379221;R$69,30
379218;R$69,30
379219;R$69,30
379220;R$69,30
246062;R$70,10
245303;R$70,10
244831;R$70,10
245063;R$70,10
245544;R$70,10
245860;R$70,10
388666;R$70,10
246028;R$84,26
383180;R$85,00
246966;R$85,00
246047;R$75,00
246653;R$73,00
244963;R$77,90
245731;R$75,50
245461;R$75,50
245506;R$75,50
388565;R$77,33
245348;R$78,00
387909;R$78,00
245949;R$78,00
244819;R$78,50
245222;R$79,00
245685;R$79,00
244961;R$79,00
246033;R$80,90
388619;R$80,90
388660;R$80,90
245448;R$81,00
246929;R$82,70
246761;R$93,02
246767;R$93,02
247035;R$93,31
245160;R$85,50
383187;R$85,50
383186;R$85,50
247018;R$85,50
245689;R$85,50
244965;R$85,50
383188;R$85,50
383189;R$85,50
246671;R$82,70
246122;R$87,50
388632;R$87,50
388630;R$87,50
388629;R$87,50
388627;R$87,50
245175;R$88,10
244921;R$88,10
245174;R$88,10
245321;R$88,10
388551;R$88,10
380933;R$88,10
382611;R$88,10
380934;R$88,10
388549;R$88,10
244928;R$89,00
245350;R$92,00
245876;R$92,00
245460;R$92,00
244996;R$92,00
245295;R$89,10
387544;R$89,00
247233;R$89,00
245873;R$92,00
245827;R$92,00
383074;R$92,00
247224;R$92,00
246672;R$89,00
246523;R$89,00
246810;R$89,00
246693;R$93,01
246542;R$93,01
246951;R$93,01
245491;R$88,10
382996;R$93,00
388568;R$93,20
245212;R$93,50
244998;R$93,50
383038;R$93,50
383013;R$93,50
383012;R$93,50
383306;R$93,50
383075;R$92,00
388718;R$95,00
388716;R$95,00
246199;R$96,00
245173;R$96,40
245641;R$96,40
388542;R$96,40
245293;R$96,40
388543;R$96,40
244865;R$104,00
383091;R$104,00
246764;R$104,00
383042;R$98,00
246144;R$99,50
246145;R$99,50
388598;R$104,00
246423;R$105,00
383166;R$107,00
383168;R$107,00
383167;R$107,00
246029;R$107,00
388731;R$105,00
245181;R$107,90
245647;R$107,90
244927;R$107,90
246991;R$110,00
246736;R$110,00
246587;R$110,00
246789;R$110,00
247008;R$110,00
246126;R$112,50
245161;R$113,00
245630;R$113,00
244909;R$113,00
245319;R$113,00
245741;R$116,00
245021;R$121,00
244784;R$121,00
383121;R$116,90
383119;R$116,90
245096;R$121,50
245575;R$121,50
383112;R$121,50
388727;R$119,90
388729;R$119,90
246601;R$122,50
245704;R$122,80
245300;R$122,80
245247;R$122,80
245330;R$122,80
245014;R$122,80
246103;R$125,75
245787;R$125,00
245407;R$125,00
245258;R$125,00
245482;R$125,00
246104;R$132,00
388714;R$130,00
383081;R$134,90
383080;R$134,90
246115;R$145,50
245180;R$143,00
245646;R$143,00
244926;R$143,00
387877;R$172,50
387878;R$143,00
247287;R$172,50
245054;R$145,00
245536;R$145,00
244823;R$145,00
245179;R$173,36
245645;R$173,36
244925;R$173,36
245053;R$146,50
245535;R$146,50
244822;R$146,50
388704;R$151,05
246003;R$152,10
388705;R$156,00
388706;R$156,00
246535;R$160,00
246684;R$160,00
383039;R$162,00
383041;R$162,00
383040;R$162,00
245543;R$163,00
244830;R$163,00
245077;R$164,50
244840;R$164,50
244800;R$164,50
244779;R$164,50
244799;R$195,20
245068;R$195,20
245548;R$195,20
