id;nome;cod_ncm;cod_forma_aquisicao;cod_origem_mercadoria;cod_tipo_tributacao_ipi
379932;TORONTO;21069090;30;11;19
380343;UVA;20089900;30;11;19
379923;X-BACON;21069090;30;11;19
379921;X-BURGUER;21069090;30;11;19
379924;X-FRANGO BACON;21069090;30;11;19
379933;X-PICANHA;21069090;30;11;19
379922;X-SALADA;21069090;30;11;19
379925;X-TUDO;21069090;30;11;19
379928;X-TWISTER;21069090;30;11;19
380344;XAROPE;20089900;30;11;19
