cod_barras;nome;fabricante;tamanho;cor_sabor;vlr_custo;vlr_atacado;vlr_varejo;ncm;forma_aquisicao;origem_mercadoria;tipo_tributacao_ipi;Uni Comercial
790000006071;CAMISA MASC AZUL-AZUL-M;BODY STYLE;M;AZUL;0,00;39,00;79,00;61091000;30;11;19;UN
790000006072;CAMISA MASC AZUL-AZUL-L;BODY STYLE;L;AZUL;0,00;39,00;79,00;61091000;30;11;19;UN
790000006073;CAMISA MASC AZUL-AZUL-XL;BODY STYLE;XL;AZUL;0,00;39,00;79,00;61091000;30;11;19;UN
790000006074;CAMISA MASC AMARELO-AMARELO-S;BODY STYLE;S;AMARELO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006075;CAMISA MASC AMARELO-AMARELO-M;BODY STYLE;M;AMARELO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006076;CAMISA MASC AMARELO-AMARELO-L;BODY STYLE;L;AMARELO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006077;CAMISA MASC AMARELO-AMARELO-XL;BODY STYLE;XL;AMARELO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006128;REGATA MASC CHUMBO-CHUMBO-M;BODY STYLE;M;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006129;REGATA MASC CHUMBO-CHUMBO-L;BODY STYLE;L;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006130;REGATA MASC CHUMBO-CHUMBO-XL;BODY STYLE;XL;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006102;CROPPED - PRETO-PRETO-S;BODY STYLE;S;PRETO;0,00;29,00;49,00;61061000;30;11;19;UN
790000006103;CROPPED - PRETO-PRETO-M;BODY STYLE;M;PRETO;0,00;29,00;49,00;61061000;30;11;19;UN
790000006104;CROPPED - PRETO-PRETO-L;BODY STYLE;L;PRETO;0,00;29,00;49,00;61061000;30;11;19;UN
790000006105;CROPPED - BRANCO-BRANCO-S;BODY STYLE;S;BRANCO;0,00;29,00;49,00;61061000;30;11;19;UN
790000006106;CROPPED - BRANCO-BRANCO-M;BODY STYLE;M;BRANCO;0,00;29,00;49,00;61061000;30;11;19;UN
790000006107;CROPPED - BRANCO-BRANCO-L;BODY STYLE;L;BRANCO;0,00;29,00;49,00;61061000;30;11;19;UN
790000006131;REGATA MASC - CHUMBO-CHUMBO-M;BODY STYLE;M;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
