id;vlr_atacado
246421;R$25,65
246423;R$105,00
246424;R$58,67
246425;R$55,00
246426;R$30,50
246427;R$24,90
246434;R$63,04
246435;R$24,61
246437;R$5,87
246440;R$22,19
246442;R$38,25
246443;R$36,61
246444;R$50,00
246445;R$77,00
246446;R$37,47
246447;R$69,90
246450;R$34,10
246451;R$15,70
246452;R$13,50
246453;R$43,85
246456;R$11,73
246457;R$13,00
246460;R$15,00
246461;R$18,00
246462;R$53,51
246463;R$75,00
246464;R$46,46
246465;R$16,83
246466;R$18,85
246467;R$63,08
246468;R$18,97
246469;R$52,37
246470;R$37,50
246472;R$25,70
246473;R$23,43
246474;R$49,98
246478;R$20,24
246489;R$58,14
246492;R$13,12
246493;R$26,78
246495;R$83,44
246496;R$13,44
246499;R$11,50
246503;R$13,44
246505;R$104,30
246507;R$47,87
246508;R$87,38
246510;R$11,50
246511;R$6,35
246513;R$86,23
246516;R$55,00
246517;R$61,11
246519;R$32,00
246520;R$25,84
246521;R$121,04
246523;R$89,00
246535;R$160,00
246538;R$35,00
246542;R$93,01
246543;R$48,35
246547;R$74,58
246559;R$47,87
246561;R$35,00
246564;R$59,90
246587;R$110,00
246588;R$139,90
246589;R$93,37
246592;R$93,96
246593;R$42,00
246594;R$49,50
246596;R$66,92
246600;R$31,10
246601;R$122,50
246602;R$70,24
246605;R$13,44
246606;R$52,07
246607;R$9,79
246608;R$9,79
246612;R$12,07
246638;R$11,50
246641;R$47,87
246643;R$12,07
246644;R$9,80
246647;R$9,79
246649;R$24,50
246650;R$121,04
246651;R$124,76
246653;R$73,00
246655;R$130,71
246656;R$66,92
246658;R$80,91
246662;R$86,23
246664;R$55,00
246665;R$58,00
246667;R$53,90
246671;R$82,70
246672;R$89,00
246684;R$160,00
246687;R$35,00
246693;R$93,01
246694;R$48,35
246701;R$25,79
246707;R$47,87
246709;R$35,00
246710;R$55,00
246736;R$110,00
246737;R$139,90
246739;R$93,37
246742;R$93,96
246743;R$42,00
246744;R$49,50
246746;R$31,10
246748;R$70,24
246752;R$86,23
246753;R$58,37
246755;R$36,45
246756;R$47,87
246758;R$36,45
246761;R$93,02
246764;R$104,00
246765;R$87,38
246767;R$93,02
246772;R$47,87
246776;R$39,35
246777;R$9,53
246780;R$13,05
246781;R$121,04
246789;R$110,00
246792;R$66,92
246797;R$12,10
246800;R$9,79
246801;R$121,04
246802;R$66,92
246807;R$49,27
246810;R$89,00
246812;R$25,00
246820;R$139,90
246822;R$45,00
246824;R$12,07
246834;R$25,67
246835;R$49,27
246839;R$49,27
246841;R$11,50
246846;R$59,00
246849;R$41,50
246851;R$55,80
246854;R$93,37
246859;R$9,79
246861;R$52,27
246862;R$20,24
246868;R$39,00
246869;R$13,12
246870;R$25,00
246876;R$41,50
246877;R$76,76
246887;R$20,24
246890;R$41,93
246893;R$9,80
246900;R$49,27
246906;R$34,90
246908;R$76,76
246918;R$86,23
246921;R$55,00
246922;R$58,00
246924;R$53,90
246926;R$24,50
246927;R$121,04
246929;R$82,70
246943;R$12,07
246946;R$35,00
246951;R$93,01
246952;R$48,35
246953;R$215,00
246966;R$85,00
246967;R$47,87
246969;R$35,00
246972;R$59,90
246991;R$110,00
246994;R$93,96
246995;R$42,00
246996;R$49,50
246998;R$66,92
247001;R$31,10
247003;R$70,24
247008;R$110,00
247011;R$9,80
247012;R$11,50
247013;R$6,35
247015;R$37,45
247017;R$39,90
247018;R$85,50
247019;R$17,03
247020;R$139,90
247034;R$58,00
247035;R$93,31
247036;R$9,79
247037;R$12,50
247038;R$12,50
247041;R$9,79
247046;R$47,87
247067;R$7,60
247076;R$37,94
247078;R$6,50
247081;R$52,27
247083;R$20,24
247090;R$32,79
247096;R$9,79
247105;R$39,00
247108;R$25,00
247118;R$44,00
247137;R$27,99
247150;R$15,25
247154;R$44,80
247155;R$34,50
247165;R$45,81
247166;R$52,27
247167;R$83,98
247169;R$36,25
247170;R$40,40
247186;R$38,60
247187;R$37,90
247195;R$18,18
247199;R$39,90
247202;R$33,71
247206;R$12,50
247210;R$58,14
247220;R$52,27
247221;R$28,19
247224;R$92,00
247225;R$35,56
247232;R$67,50
247233;R$89,00
247240;R$57,60
247242;R$49,90
247243;R$12,50
247247;R$38,33
247249;R$18,18
247263;R$46,98
247267;R$38,17
247269;R$20,55
247276;R$40,78
247283;R$65,12
247284;R$65,12
247285;R$65,12
247286;R$108,05
247287;R$172,50
247353;R$12,01
247441;R$68,45
247442;R$15,99
247443;R$87,76
247445;R$23,70
379140;R$13,00
379148;R$65,77
379149;R$65,77
379150;R$65,77
379151;R$124,97
379152;R$124,97
379153;R$124,97
379154;R$42,58
379155;R$42,58
379156;R$42,58
379157;R$82,45
379158;R$82,45
379159;R$82,45
379160;R$22,90
379164;R$35,00
379165;R$16,44
379166;R$29,31
379167;R$17,33
379168;R$31,71
379169;R$44,63
379170;R$44,63
379171;R$44,63
379180;R$33,64
379184;R$70,00
379188;R$31,25
379196;R$37,90
379197;R$35,90
379198;R$35,90
379201;R$32,80
379202;R$60,50
379203;R$69,30
379204;R$69,30
379205;R$69,30
379206;R$69,30
379207;R$11,25
379209;R$13,05
379212;R$74,63
379213;R$70,00
379214;R$35,00
379215;R$68,20
379216;R$68,20
379217;R$68,20
379218;R$69,30
379219;R$69,30
379220;R$69,30
379221;R$69,30
379222;R$68,20
379223;R$68,20
379228;R$59,90
380933;R$88,10
380934;R$88,10
381047;R$33,20
